Size, Time, S?F, Avg_time
100, 0.082796, Successful, .08314100000000000000
200, 0.125797, Successful, .12620780000000000000
300, 0.215717, Successful, .21388940000000000000
400, 0.376810, Successful, .38202240000000000000
500, 0.686234, Successful, .68284600000000000000
600, 1.112738, Successful, 1.08376540000000000000
700, 1.723009, Successful, 1.71797780000000000000
800, 2.580376, Successful, 2.55723460000000000000
900, 3.883133, Successful, 3.84391720000000000000
1000, 5.295797, Successful, 5.26413120000000000000
