Size, Time, S?F, Avg_time
1000, 7.215077, Successful, 7.21617480000000000000
2000, 53.993515, Successful, 54.02475000000000000000
3000, 169.482241, Successful, 173.28293280000000000000
4000, 397.623276, Successful, 396.75383020000000000000
5000, 808.341867, Successful, 810.29879980000000000000
6000, 1389.099159, Successful, 1385.93087180000000000000
7000, 2276.539642, Successful, 2266.99249480000000000000
8000, 3250.631066, Successful, 3252.97063800000000000000
9000, 4816.976337, Successful, 4828.36942380000000000000
10000, 6631.414830, Successful, 6633.29946320000000000000
