Size, Time, S?F, Avg_time
100, 0.081945, Successful, .08916820000000000000
200, 0.131488, Successful, .13386060000000000000
300, 0.234993, Successful, .23404120000000000000
400, 0.479975, Successful, .46967580000000000000
500, 0.865592, Successful, .86434400000000000000
600, 1.445105, Successful, 1.42487300000000000000
700, 2.244142, Successful, 2.23366640000000000000
800, 3.241984, Successful, 3.22540280000000000000
900, 4.912093, Successful, 4.87729000000000000000
1000, 6.747705, Successful, 6.68617700000000000000
